  ;Poids-kg;Diam-m;Def-m;Fmax-N;Fermeté/dép;Travail;p.c.perte;Pression;L surimp;a surimp;b surimp;L fond;a fond;b fond;Ethylène (nmole/h.kg;Log(éthyl);IR (°Brix);AT (meq/100gMF);glucose (g/100gMF);fructose (g/100gMF);saccharose (g/100gMF;citrate (meq/100gMF);malate (meq/100gMF)
bl2p09                                   ;0.0573 ;0.043487 ;0.0012875 ;12.81 ;9951 ;8.25 ;0.72 ;147.86 ;63.85 ;11.22 ;36.4 ;70.45 ;-2.97 ;42.21 ;2.599 ;0.95 ;11.6 ;23.37 ;2.43 ;0.57 ;4.67 ;13.82 ;13.2
bl2p10                                   ;0.0491 ;0.041425 ;0.001225 ;12.78 ;10435 ;7.83 ;0.81 ;162.77 ;67.18 ;7.71 ;43.81 ;69.68 ;2.45 ;45.32 ;2.856 ;1.05 ;12.2 ;21.32 ;2.52 ;0.53 ;4.56 ;10.58 ;13.33
bl2p11                                   ;0.0516 ;0.043675 ;0.0013 ;13.68 ;10527 ;8.9 ;1.23 ;155.76 ;60.31 ;17.84 ;34.85 ;70.52 ;1 ;40.62 ;2.31 ;0.84 ;14 ;20.14 ;3.27 ;0.82 ;5.07 ;13.1 ;11.4
bl2p12                                   ;0.0516 ;0.04305 ;0.001275 ;10.46 ;8201.9 ;6.67 ;1.02 ;123.11 ;49.49 ;24.82 ;22.18 ;69.92 ;-1.5 ;40.94 ;3.344 ;1.21 ;12.4 ;20.54 ;2.74 ;0.67 ;4.92 ;12.02 ;11.7
bl2p13                                   ;0.0495 ;0.040675 ;0.0012125 ;12.17 ;10041 ;7.38 ;1.04 ;159.53 ;63.67 ;4.12 ;38.25 ;71.31 ;-1.05 ;44.21 ;2.128 ;0.75 ;12.1 ;22.51 ;2.51 ;0.57 ;4.45 ;12.71 ;13.02
bl2p14                                   ;0.0437 ;0.039738 ;0.001175 ;10.8 ;9192.2 ;6.35 ;1.04 ;149.47 ;66.94 ;6.75 ;43.24 ;71.37 ;-0.5 ;44.66 ;1.379 ;0.32 ;10.9 ;23.29 ;2.26 ;0.56 ;4.06 ;14.03 ;12.3
bl2p15                                   ;0.0701 ;0.046988 ;0.0014 ;18.57 ;13265 ;13 ;0.64 ;182.43 ;67.28 ;1.75 ;37.27 ;71.64 ;-3.2 ;39.92 ;2.524 ;0.93 ;10.5 ;25.24 ;2.03 ;0.46 ;3.95 ;13.14 ;15.14
bl2p16                                   ;0.05 ;0.042688 ;0.0012625 ;11.56 ;9153.4 ;7.29 ;0.67 ;138.56 ;64.2 ;11.13 ;37.7 ;69.74 ;-0.58 ;42.86 ;2.606 ;0.96 ;13.1 ;21.88 ;2.65 ;0.65 ;4.8 ;12.17 ;12.06
bl2p17                                   ;0.0679 ;0.046363 ;0.001375 ;15.85 ;11529 ;10.9 ;0.84 ;160.7 ;60.01 ;11.21 ;35.22 ;70.97 ;-3.56 ;42.38 ;2.626 ;0.97 ;10.3 ;24.17 ;2.05 ;0.44 ;3.76 ;11.92 ;14.89
bl2p18                                   ;0.043 ;0.040725 ;0.0012125 ;12.89 ;10631 ;7.81 ;1.1 ;168.7 ;67.27 ;6.4 ;42.7 ;71.43 ;-0.83 ;45.31 ;2.822 ;1.04 ;11.4 ;25.17 ;2.32 ;0.6 ;4.02 ;14.25 ;14.73
