  ;Poids-kg;Diam-m;Def-m;Fmax-N;Fermeté/dép;Travail;p.c.perte;Pression;L surimp;a surimp;b surimp;L fond;a fond;b fond;Ethylène (nmole/h.kg;Log(éthyl);IR (°Brix);AT (meq/100gMF);glucose (g/100gMF);fructose (g/100gMF);saccharose (g/100gMF;citrate (meq/100gMF);malate (meq/100gMF)
371p05                                   ;0.048 ;0.036925 ;0.0011 ;17.11 ;15553 ;9.41 ;0.3 ;272.21 ;40.7 ;22.68 ;18.59 ;64.15 ;-6.78 ;42.43 ;13.145 ;2.58 ;9.7 ;37.89 ;1.28 ;0.52 ;2.48 ;36.8 ;3.95
371p06                                   ;0.0402 ;0.036925 ;0.0011 ;18.84 ;17123 ;10.36 ;0.34 ;299.68 ;42 ;15.35 ;16.94 ;58.15 ;-13.2 ;39.15 ;4.14 ;1.42 ;7.1 ;36.23 ;1.3 ;0.47 ;1.71 ;37.92 ;4.98
371p07                                   ;0.042 ;0.035425 ;0.00105 ;17.15 ;16331 ;9 ;0.46 ;297.9 ;37.42 ;30.03 ;14.53 ;60.99 ;-6.71 ;36.84 ;7.907 ;2.07 ;9.7 ;35.82 ;2.69 ;0.91 ;5.46 ;38.45 ;4.57
371p08                                   ;0.0474 ;0.037463 ;0.0011125 ;11.7 ;10520 ;6.51 ;0.93 ;181.46 ;35.3 ;29.44 ;12.98 ;56.41 ;5.43 ;34.76 ;24.381 ;3.19 ;13.2 ;40.58 ;2.28 ;0.74 ;4.27 ;34.88 ;5.33
371p09                                   ;0.0352 ;0.033862 ;0.001 ;19.79 ;19787 ;9.89 ;0.48 ;377.57 ;38.78 ;22.7 ;16.66 ;59.7 ;-12.31 ;40.29 ;25.099 ;3.22 ;7.6 ;35.01 ;1.17 ;0.5 ;1.72 ;36.07 ;4.15
371p11                                   ;0.0605 ;0.0416 ;0.0012375 ;9.55 ;7721.2 ;5.91 ;1.02 ;119.94 ;37.75 ;25.23 ;14.26 ;58.76 ;-9.25 ;35.81 ;76.228 ;4.33 ;11.4 ;33.02 ;1.4 ;0.57 ;4.01 ;32.73 ;4.56
371p12                                   ;0.0667 ;0.040775 ;0.0012125 ;17.34 ;14304 ;10.51 ;0.52 ;226.71 ;36.69 ;28.98 ;13.18 ;63.77 ;-8.83 ;38.51 ;38.221 ;3.64 ;10.2 ;34.64 ;1.19 ;0.46 ;3.33 ;33.5 ;4.94
371p13                                   ;0.0441 ;0.035287 ;0.00105 ;14.09 ;13416 ;7.4 ;0.43 ;245.7 ;38.71 ;27.6 ;17.17 ;54.28 ;0.78 ;35.56 ;4.839 ;1.58 ;11 ;42.53 ;1.34 ;0.51 ;2.29 ;44.38 ;5.24
371p14                                   ;0.0445 ;0.0381 ;0.001125 ;15.56 ;13830 ;8.75 ;0.52 ;234.55 ;42.92 ;24.43 ;23.91 ;55.53 ;13.88 ;34.01 ;18.772 ;2.93 ;10.2 ;34.68 ;1.24 ;0.52 ;2.82 ;34.21 ;4.6
371p15                                   ;0.0436 ;0.037588 ;0.0011125 ;22.21 ;19964 ;12.35 ;0.43 ;343.21 ;38.56 ;33.56 ;18.63 ;58.68 ;15.04 ;37.12 ;5.178 ;1.64 ;8.7 ;35.56 ;1.21 ;0.58 ;1.74 ;34.73 ;4.04
371p16                                   ;0.0488 ;0.038 ;0.001125 ;26.9 ;23910 ;15.13 ;0.63 ;406.59 ;38.95 ;26.01 ;14.84 ;56.52 ;5.49 ;33.66 ;5.164 ;1.64 ;10.6 ;39.06 ;1.53 ;0.72 ;2.03 ;40.83 ;3.99
371p17                                   ;0.0524 ;0.038825 ;0.00115 ;12.13 ;10552 ;6.98 ;0.61 ;175.63 ;38.51 ;32.34 ;15.25 ;63.08 ;9.64 ;41.51 ;32.768 ;3.49 ;10.6 ;29.17 ;1.36 ;0.59 ;2.89 ;25.46 ;3.83
371p18                                   ;0.0361 ;0.034263 ;0.0010125 ;15.76 ;15570 ;7.98 ;0.47 ;293.64 ;40.22 ;23.78 ;15.25 ;57.28 ;-7.25 ;35.5 ;6.069 ;1.8 ;10.1 ;35.59 ;1.39 ;0.56 ;2.39 ;36.13 ;4.51
371p19                                   ;0.0364 ;0.034625 ;0.001025 ;16.67 ;16261 ;8.54 ;0.54 ;303.46 ;35.81 ;26.54 ;13.1 ;54.95 ;3.58 ;33.77 ;7.606 ;2.03 ;8 ;33.06 ;1.42 ;0.61 ;2.07 ;43.04 ;5.25
371p21                                   ;0.0543 ;0.04005 ;0.0011875 ;17.92 ;15093 ;10.64 ;0.56 ;243.52 ;42.61 ;18.64 ;16.31 ;64.14 ;-8.62 ;41.46 ;12.479 ;2.52 ;9.2 ;36.07 ;1.13 ;0.58 ;2.47 ;36.61 ;4.46
371p22                                   ;0.0516 ;0.03835 ;0.0011375 ;19.31 ;16972 ;10.98 ;0.49 ;285.99 ;36.56 ;23.99 ;11.18 ;62.38 ;-9.73 ;37.47 ;7.444 ;2.01 ;9.1 ;38.45 ;0.93 ;0.44 ;2.44 ;34.85 ;4.96
371p23                                   ;0.0419 ;0.036288 ;0.001075 ;20.44 ;19018 ;10.99 ;0.31 ;338.66 ;38.42 ;18.37 ;15.9 ;60.76 ;-11.41 ;37.49 ;4.463 ;1.5 ;8.2 ;35.51 ;1.09 ;0.57 ;1.78 ;35.75 ;4.44
371p24                                   ;0.0411 ;0.036475 ;0.0010875 ;20.4 ;18763 ;11.1 ;0.38 ;332.44 ;37.4 ;28.28 ;15.01 ;60.52 ;-6.04 ;39.1 ;7.327 ;1.99 ;8.6 ;32.08 ;1.24 ;0.67 ;2.02 ;31.03 ;4.13
371p25                                   ;0.0431 ;0.037975 ;0.001125 ;23.87 ;21216 ;13.43 ;0.33 ;361.01 ;39.84 ;25.4 ;15.56 ;59.43 ;-9.74 ;37.36 ;3.737 ;1.32 ;8.5 ;34.04 ;1.35 ;0.6 ;1.32 ;35.98 ;3.27
371p26                                   ;0.0477 ;0.037575 ;0.0011125 ;30.18 ;27124 ;16.79 ;0.47 ;466.46 ;36.55 ;26.05 ;15.3 ;61.5 ;-8.73 ;36.91 ;5.143 ;1.64 ;9.7 ;35.63 ;1.25 ;0.65 ;2.01 ;37.56 ;3.74
371p27                                   ;0.0518 ;0.037538 ;0.0011125 ;28.97 ;26039 ;16.11 ;0.37 ;448.26 ;35.71 ;23.43 ;10.17 ;61.28 ;-10.04 ;38.75 ;9.382 ;2.24 ;9.8 ;37.2 ;1.24 ;0.66 ;2.19 ;37.51 ;4.81
371p28                                   ;0.0365 ;0.035237 ;0.00105 ;17.96 ;17107 ;9.43 ;0.43 ;313.73 ;37.15 ;25.56 ;12.83 ;59.2 ;-9.73 ;38.7 ;7.798 ;2.05 ;8.4 ;36.41 ;1.38 ;0.71 ;1.45 ;37.86 ;3.97
371p29                                   ;0.0402 ;0.036562 ;0.0010875 ;12.46 ;11456 ;6.77 ;0.55 ;202.49 ;39.79 ;30.83 ;16.54 ;55.12 ;20.74 ;36.19 ;27.06 ;3.3 ;7.7 ;33.06 ;1.71 ;0.72 ;2.45 ;32.55 ;4.59
371p31                                   ;0.0446 ;0.036487 ;0.0010875 ;13.77 ;12665 ;7.49 ;0.62 ;224.32 ;38.44 ;33.36 ;19.41 ;50.92 ;21.19 ;32.3 ;18.786 ;2.93 ;11 ;32.43 ;1.71 ;0.67 ;2.61 ;35.31 ;4.44
371p32                                   ;0.0439 ;0.0377 ;0.0011125 ;14.59 ;13112 ;8.11 ;0.53 ;224.74 ;37.72 ;35.97 ;17.29 ;62.15 ;1.88 ;40.93 ;13.095 ;2.57 ;10.2 ;32.56 ;1.92 ;0.87 ;2.32 ;34.06 ;4.16
371p33                                   ;0.0541 ;0.040888 ;0.0012125 ;24.65 ;20332 ;14.95 ;0.46 ;321.33 ;47.57 ;7.04 ;22.6 ;62.82 ;-8.96 ;39.11 ;7.082 ;1.96 ;8.2 ;33.15 ;0.99 ;0.6 ;2.15 ;35.78 ;4.62
371p34                                   ;0.042 ;0.035525 ;0.00105 ;22.98 ;21890 ;12.07 ;0.35 ;398.17 ;46.28 ;13.45 ;20.35 ;62.97 ;-11.59 ;38.38 ;3.363 ;1.21 ;8 ;36.1 ;1.05 ;0.59 ;1.97 ;40.84 ;4.53
371p35                                   ;0.036 ;0.034763 ;0.001025 ;13.61 ;13275 ;6.97 ;0.68 ;246.74 ;45.06 ;23.1 ;23 ;62.45 ;-2.19 ;40.53 ;11.023 ;2.4 ;8.6 ;30.59 ;1.55 ;0.87 ;1.64 ;33.72 ;3.58
371p36                                   ;0.0427 ;0.037512 ;0.0011125 ;25.81 ;23200 ;14.36 ;0.43 ;399.65 ;38.29 ;20.1 ;14.43 ;60.01 ;-11.38 ;37.2 ;3.469 ;1.24 ;8.2 ;38.17 ;1.11 ;0.67 ;5.33 ;39.68 ;3.88
371p37                                   ;0.0552 ;0.039038 ;0.0011625 ;23.3 ;20042 ;13.54 ;0.42 ;331.78 ;42.22 ;19.94 ;18.04 ;67.37 ;-6.9 ;38.29 ;12.408 ;2.52 ;9.4 ;38.36 ;1.12 ;0.63 ;2.41 ;38.65 ;4.63
371p38                                   ;0.0452 ;0.036562 ;0.0010875 ;23.55 ;21659 ;12.81 ;0.34 ;382.81 ;44.21 ;12.29 ;17.85 ;60.63 ;-6.11 ;37.63 ;7.108 ;1.96 ;8.8 ;38.62 ;1.21 ;0.75 ;1.99 ;38.65 ;5.36
371p39                                   ;0.0456 ;0.037463 ;0.0011125 ;24.68 ;22186 ;13.73 ;0.37 ;382.7 ;39.34 ;17.03 ;15.39 ;61.84 ;-11.36 ;36.75 ;5.61 ;1.72 ;7.9 ;37.44 ;1.22 ;0.7 ;1.51 ;40.62 ;4.31
go2p02                                   ;0.0598 ;0.043413 ;0.0012875 ;4.71 ;3657.3 ;3.03 ;1.27 ;54.44 ;53.45 ;20.49 ;41.29 ;57.57 ;19.26 ;49.27 ;5.467 ;1.7 ;8 ;31.3 ;0.85 ;0.35 ;2.75 ;23.79 ;8.94
go2p03                                   ;0.0889 ;0.0461 ;0.001375 ;10.98 ;7983.6 ;7.55 ;0.92 ;111.92 ;58.79 ;18.2 ;49.36 ;63.71 ;16.57 ;53.36 ;7.087 ;1.96 ;9 ;30.95 ;0.9 ;0.4 ;3.57 ;20.69 ;11.78
go2p04                                   ;0.042 ;0.038137 ;0.0011375 ;8.8 ;7735.9 ;5 ;0.98 ;131.09 ;52.71 ;12.62 ;42.91 ;57.5 ;15.04 ;47.97 ;5.22 ;1.65 ;7.8 ;30.35 ;0.72 ;0.32 ;2.55 ;18.32 ;11.76
go2p05                                   ;0.0486 ;0.039488 ;0.001175 ;7.14 ;6078 ;4.2 ;1.23 ;99.47 ;54.17 ;22.98 ;45.33 ;54.56 ;20.81 ;46.35 ;6.268 ;1.84 ;9 ;32.61 ;1.03 ;0.35 ;2.9 ;23.05 ;8.51
go2p06                                   ;0.0556 ;0.0416 ;0.0012375 ;9.11 ;7364.4 ;5.64 ;1.02 ;114.4 ;58.95 ;17.37 ;49.68 ;56.41 ;14.14 ;47.64 ;6.762 ;1.91 ;9.2 ;32.58 ;1.05 ;0.38 ;2.99 ;21.89 ;11.8
go2p07                                   ;0.0497 ;0.040325 ;0.0012 ;12.56 ;10464 ;7.53 ;0.77 ;167.69 ;53.64 ;18.88 ;38.08 ;60.15 ;15.61 ;50 ;5.626 ;1.73 ;9.8 ;30.96 ;1.05 ;0.47 ;2.85 ;21.86 ;10.74
go2p08                                   ;0.0643 ;0.04405 ;0.0013125 ;4.9 ;3729.7 ;3.21 ;1.22 ;54.72 ;49.43 ;24.84 ;32.42 ;54.15 ;21.24 ;44.24 ;10.077 ;2.31 ;9.7 ;28.99 ;1.32 ;0.45 ;3.15 ;19.06 ;8.92
go2p09                                   ;0.0641 ;0.0446 ;0.001325 ;9.35 ;7055.8 ;6.19 ;1.07 ;102.23 ;57.59 ;15.61 ;44.57 ;59.64 ;16.93 ;51.07 ;14.355 ;2.66 ;8.7 ;31.03 ;1.15 ;0.38 ;3.06 ;20.74 ;10.91
go2p10                                   ;0.0784 ;0.047325 ;0.0014125 ;15.54 ;11001 ;10.97 ;0.69 ;150.23 ;60.34 ;18.9 ;50.94 ;61.55 ;13.69 ;49.36 ;14.655 ;2.68 ;9.5 ;29.52 ;0.98 ;0.35 ;3.57 ;17.58 ;13.13
go2p11                                   ;0.0485 ;0.040388 ;0.0012 ;5.28 ;4398.1 ;3.17 ;1.24 ;70.37 ;52.28 ;16.31 ;41.87 ;56.1 ;5.85 ;43.45 ;3.303 ;1.19 ;6.9 ;30.18 ;0.6 ;0.23 ;1.88 ;24.67 ;7.78
go2p12                                   ;0.0604 ;0.042138 ;0.00125 ;13.2 ;10563 ;8.25 ;0.74 ;162 ;59.36 ;15.18 ;48.6 ;59.97 ;16.92 ;48.73 ;18.962 ;2.94 ;9.3 ;32.89 ;0.95 ;0.4 ;3.76 ;18.42 ;14.97
go2p13                                   ;0.0541 ;0.041775 ;0.0012375 ;7.8 ;6302.2 ;4.83 ;1.05 ;97.48 ;56.62 ;13.04 ;46.46 ;58.34 ;11.9 ;48.03 ;7.532 ;2.02 ;7.4 ;29.04 ;0.75 ;0.27 ;2.63 ;20.25 ;10.41
go2p14                                   ;0.0587 ;0.043475 ;0.0012875 ;11.37 ;8830.9 ;7.32 ;0.89 ;131.26 ;58.69 ;15.98 ;48.18 ;59.38 ;19.36 ;46.67 ;13.231 ;2.58 ;10.2 ;30.26 ;1.15 ;0.43 ;4.02 ;19.55 ;13
go2p15                                   ;0.0595 ;0.043663 ;0.0013 ;10.67 ;8210.2 ;6.94 ;0.94 ;121.52 ;56.83 ;24.78 ;44.45 ;57.88 ;18.42 ;49.28 ;11.591 ;2.45 ;10.4 ;29.84 ;1.33 ;0.5 ;3.91 ;19.53 ;11.04
go2p16                                   ;0.0563 ;0.042787 ;0.001275 ;7.07 ;5547.5 ;4.51 ;1.17 ;83.79 ;54.09 ;16.22 ;46.02 ;56.78 ;16.82 ;47.62 ;4.502 ;1.5 ;8.3 ;32.59 ;0.85 ;0.28 ;2.54 ;23.83 ;10.3
go2p17                                   ;0.0823 ;0.048575 ;0.00145 ;11.02 ;7597.7 ;7.99 ;0.87 ;101.08 ;57.87 ;21.54 ;47.98 ;62.84 ;19.81 ;50.21 ;17.83 ;2.88 ;10.2 ;27.06 ;1.09 ;0.42 ;4.44 ;17.47 ;11.72
go2p18                                   ;0.0667 ;0.044937 ;0.0013375 ;9.03 ;6747.8 ;6.04 ;1.03 ;97.04 ;60.23 ;20.55 ;47.9 ;59.74 ;18.23 ;50.72 ;31.36 ;3.45 ;9.2 ;25.71 ;1.15 ;0.5 ;3.8 ;14.45 ;12.54
go2p19                                   ;0.0544 ;0.042375 ;0.0012625 ;10.72 ;8492.9 ;6.77 ;0.86 ;129.52 ;56.37 ;20.62 ;44.85 ;59.48 ;15.14 ;51.98 ;12.772 ;2.55 ;9.2 ;30.15 ;0.82 ;0.37 ;3.66 ;19.42 ;13.51
go2p20                                   ;0.0657 ;0.044275 ;0.0013125 ;11.34 ;8640.3 ;7.44 ;0.9 ;126.11 ;57.95 ;15.87 ;45.78 ;62.64 ;12.88 ;50.17 ;13.971 ;2.64 ;10.2 ;32 ;1.04 ;0.45 ;3.87 ;20.52 ;14.2
go2p21                                   ;0.067 ;0.0457 ;0.0013625 ;13.77 ;10109 ;9.38 ;0.71 ;142.95 ;57.76 ;21.28 ;45.68 ;61.9 ;17.04 ;50.68 ;30.407 ;3.41 ;11.3 ;31.1 ;1.15 ;0.53 ;4.33 ;17.59 ;18.37
go2p22                                   ;0.068 ;0.044825 ;0.0013375 ;13.62 ;10180 ;9.11 ;0.67 ;146.78 ;59.21 ;20.09 ;48.87 ;61.13 ;19.34 ;51.68 ;23.539 ;3.16 ;10.1 ;32.85 ;0.97 ;0.47 ;4.24 ;16.68 ;14.23
go2p23                                   ;0.0621 ;0.043338 ;0.0012875 ;11.48 ;8914.7 ;7.39 ;1.04 ;132.93 ;57.82 ;19.91 ;46.29 ;58.35 ;20.94 ;50.99 ;21.696 ;3.08 ;9.1 ;30.48 ;1.03 ;0.48 ;4.35 ;17.19 ;13.28
go2p24                                   ;0.071 ;0.045762 ;0.0013625 ;10.58 ;7768.8 ;7.21 ;0.93 ;109.71 ;60.76 ;19.47 ;48.53 ;59.55 ;19.65 ;47.67 ;23.591 ;3.16 ;10.2 ;28.51 ;1.15 ;0.5 ;4.6 ;12.92 ;13.32
go2p25                                   ;0.0577 ;0.042638 ;0.0012625 ;8.14 ;6449.4 ;5.14 ;1.11 ;97.74 ;56.25 ;22.14 ;44.51 ;58.28 ;18.87 ;48.27 ;12.704 ;2.54 ;8.9 ;31.39 ;0.97 ;0.42 ;3.55 ;15.15 ;10.24
go2p26                                   ;0.0552 ;0.04285 ;0.001275 ;12.4 ;9725.4 ;7.9 ;0.67 ;146.67 ;60.12 ;17.18 ;47.68 ;60.44 ;17.76 ;49.69 ;24.954 ;3.22 ;9.7 ;31.77 ;1 ;0.5 ;4.26 ;16.8 ;15.22
go2p27                                   ;0.0738 ;0.047387 ;0.0014125 ;16.34 ;11571 ;11.54 ;0.69 ;157.79 ;62.47 ;16.43 ;50.6 ;59.35 ;11.93 ;47.89 ;16.561 ;2.81 ;10.2 ;31.77 ;0.98 ;0.45 ;4.05 ;16.03 ;14.64
go2p28                                   ;0.0828 ;0.0477 ;0.0014125 ;15.33 ;10855 ;10.83 ;0.63 ;147.05 ;62.02 ;21.25 ;49.19 ;56.25 ;16.97 ;41.87 ;29.035 ;3.37 ;10.8 ;26.83 ;1.1 ;0.53 ;4.64 ;10.55 ;13.73
go2p29                                   ;0.0805 ;0.048787 ;0.00145 ;10.38 ;7157.9 ;7.52 ;1 ;94.81 ;58.69 ;24.56 ;49.44 ;62.45 ;21.62 ;53.19 ;246.7 ;5.51 ;11.4 ;25.36 ;1.52 ;0.67 ;5.12 ;13.23 ;11.45
go2p30                                   ;0.0668 ;0.0444 ;0.001325 ;5.09 ;3842.6 ;3.37 ;1.32 ;55.93 ;53.79 ;21.1 ;44.73 ;60.78 ;22.67 ;52.56 ;9.367 ;2.24 ;8.8 ;33.15 ;0.92 ;0.3 ;3.04 ;22.23 ;9.84
go2p31                                   ;0.0704 ;0.045275 ;0.00135 ;11.92 ;8829 ;8.05 ;0.86 ;126.03 ;56.66 ;23.7 ;44.95 ;59.52 ;20.27 ;51.75 ;24.122 ;3.18 ;11.5 ;29.28 ;1.55 ;0.62 ;4.69 ;18.32 ;11.76
go2p32                                   ;0.0631 ;0.044125 ;0.0013125 ;10.28 ;7833.1 ;6.75 ;0.99 ;114.72 ;57.45 ;23.12 ;46.02 ;59.98 ;17.34 ;50.95 ;20.705 ;3.03 ;10.4 ;28.12 ;1.34 ;0.55 ;4.31 ;16.68 ;10.97
go2p33                                   ;0.0623 ;0.042487 ;0.0012625 ;9.43 ;7467.3 ;5.95 ;0.79 ;113.57 ;56.89 ;17.82 ;46.84 ;62.83 ;18.29 ;48.16 ;19.186 ;2.95 ;8.5 ;22.33 ;0.98 ;0.5 ;3.7 ;11.73 ;10.75
go2p34                                   ;0.0537 ;0.041075 ;0.001225 ;9.3 ;7591.7 ;5.7 ;0.79 ;119.45 ;53.39 ;12.47 ;39.84 ;56.64 ;8.4 ;45.55 ;4.583 ;1.52 ;7.6 ;31.69 ;0.8 ;0.35 ;2.15 ;22.25 ;11.33
go2p35                                   ;0.0752 ;0.047888 ;0.001425 ;15.03 ;10547 ;10.71 ;0.68 ;142.32 ;61.56 ;15.21 ;49.89 ;59.91 ;6.9 ;45 ;10.022 ;2.3 ;8.8 ;30 ;0.83 ;0.38 ;3.2 ;16.42 ;13.14
go2p36                                   ;0.0681 ;0.045363 ;0.00135 ;11.58 ;8574.7 ;7.81 ;0.72 ;122.16 ;60.71 ;17.05 ;52.16 ;58.6 ;9.76 ;47.25 ;12.457 ;2.52 ;9.6 ;32.77 ;0.92 ;0.42 ;3.79 ;14.44 ;14.62
go2p37                                   ;0.0554 ;0.042188 ;0.00125 ;7.97 ;6372.6 ;4.98 ;1.04 ;97.61 ;56.63 ;15.67 ;47.67 ;56.31 ;8.86 ;44.73 ;9.987 ;2.3 ;7.3 ;33.48 ;0.67 ;0.27 ;2.25 ;25.66 ;9.95
go2p38                                   ;0.0588 ;0.043037 ;0.001275 ;4.47 ;3508.5 ;2.85 ;1.31 ;52.68 ;54.68 ;15.51 ;46.98 ;55.51 ;16.54 ;48.88 ;5.436 ;1.69 ;9 ;35.04 ;0.9 ;0.32 ;2.92 ;22.23 ;10.43
go2p39                                   ;0.0471 ;0.039975 ;0.0011875 ;7.84 ;6600.6 ;4.65 ;0.88 ;106.7 ;55.96 ;23.9 ;45.73 ;58.14 ;18.23 ;50.77 ;17.88 ;2.88 ;9.6 ;30.65 ;1.5 ;0.63 ;3.49 ;17.97 ;13.28
go2p40                                   ;0.0623 ;0.0452 ;0.0013375 ;6.12 ;4576.8 ;4.09 ;1.6 ;65.43 ;59.48 ;16.23 ;46.18 ;60.49 ;15.27 ;45.68 ;13.916 ;2.63 ;9.9 ;21.54 ;1.5 ;0.55 ;3.96 ;16.39 ;6.26
go1p01                                   ;0.0533 ;0.043013 ;0.001275 ;15.3 ;12003 ;9.76 ;1.1 ;180.32 ;63.45 ;10.81 ;50.46 ;63.36 ;8.82 ;46.47 ;9.798 ;2.28 ;10 ;31.09 ;1.67 ;0.67 ;4.03 ;26.11 ;8.04
go1p02                                   ;0.0501 ;0.041313 ;0.001225 ;12.13 ;9906.1 ;7.43 ;1.24 ;154.95 ;59.76 ;17.44 ;40.32 ;62.88 ;10.33 ;49.36 ;17.132 ;2.84 ;11.4 ;30.12 ;1.6 ;0.53 ;4.95 ;28.19 ;7.63
go1p03                                   ;0.0763 ;0.047438 ;0.0014125 ;24.85 ;17592 ;17.55 ;0.82 ;239.66 ;58.16 ;3.85 ;40.59 ;62.25 ;-7.7 ;45.84 ;5.124 ;1.63 ;9.8 ;33.73 ;1.5 ;0.58 ;3.47 ;28.91 ;10.15
go1p04                                   ;0.0722 ;0.048625 ;0.00145 ;11.98 ;8260.7 ;8.68 ;1.13 ;109.79 ;62.14 ;14.7 ;48.17 ;65.26 ;7.67 ;51.16 ;13.757 ;2.62 ;9.4 ;26.63 ;1.55 ;0.65 ;3.67 ;23.49 ;7.93
go1p05                                   ;0.0754 ;0.04825 ;0.0014375 ;23.53 ;16372 ;16.92 ;0.8 ;219.28 ;56.24 ;13.59 ;38.8 ;64.36 ;2.2 ;51.51 ;7.669 ;2.04 ;9.8 ;32.7 ;1.67 ;0.67 ;3.55 ;28.06 ;8.34
go1p06                                   ;0.0523 ;0.041537 ;0.0012375 ;14.41 ;11645 ;8.92 ;0.93 ;181.18 ;55.52 ;4.76 ;36.34 ;62.8 ;4.25 ;47.3 ;4.131 ;1.42 ;9.3 ;29.91 ;1.48 ;0.58 ;3.28 ;28.54 ;5.08
go1p07                                   ;0.0506 ;0.041987 ;0.00125 ;14.1 ;11278 ;8.81 ;1.01 ;173.58 ;59.19 ;7.18 ;42.91 ;63.89 ;2.4 ;47.06 ;6.611 ;1.89 ;8.7 ;31.74 ;1.25 ;0.53 ;3.04 ;28.95 ;6.73
go1p08                                   ;0.0579 ;0.043825 ;0.0013 ;16.83 ;12949 ;10.94 ;0.86 ;190.94 ;54.43 ;10.95 ;31.53 ;62.78 ;4 ;46.98 ;5.5 ;1.7 ;8.6 ;27.69 ;1.63 ;0.58 ;3.29 ;24.67 ;7.93
go1p09                                   ;0.0684 ;0.046137 ;0.001375 ;23.02 ;16745 ;15.83 ;0.7 ;234.54 ;59.33 ;3.54 ;44.18 ;62.48 ;-3.82 ;48.21 ;3.424 ;1.23 ;8.6 ;28.62 ;1.4 ;0.6 ;2.81 ;24.26 ;8.37
go1p10                                   ;0.0643 ;0.045937 ;0.0013625 ;19.18 ;14076 ;13.07 ;0.82 ;198.01 ;59.5 ;12.47 ;43.34 ;64.56 ;-2.2 ;52.16 ;7.066 ;1.96 ;9.5 ;32.64 ;1.7 ;0.65 ;3.19 ;31.72 ;7.03
go1p11                                   ;0.0466 ;0.040775 ;0.0012125 ;13.42 ;11068 ;8.14 ;1.1 ;175.41 ;54.21 ;13.75 ;36.89 ;59.48 ;-1.35 ;40.3 ;7.72 ;2.04 ;8 ;32.85 ;1.18 ;0.48 ;2.47 ;31.28 ;7.02
go1p12                                   ;0.0589 ;0.044062 ;0.0013125 ;15.69 ;11951 ;10.29 ;1.08 ;175.29 ;59.68 ;11.8 ;47.48 ;59.31 ;6.05 ;43.41 ;13.588 ;2.61 ;9.3 ;31.16 ;1.4 ;0.55 ;3.7 ;28.08 ;7.6
go1p13                                   ;0.0531 ;0.043162 ;0.0012875 ;19.16 ;14881 ;12.33 ;0.9 ;222.8 ;49.8 ;24.9 ;29.94 ;62.65 ;10.11 ;48.23 ;15.441 ;2.74 ;11.3 ;32.05 ;1.85 ;0.7 ;3.99 ;32.84 ;8.81
go1p14                                   ;0.0758 ;0.048925 ;0.00145 ;26.84 ;18510 ;19.46 ;0.77 ;244.48 ;62.74 ;4.96 ;49.7 ;62.4 ;3.33 ;47.59 ;2.984 ;1.09 ;9.6 ;35.48 ;1.65 ;0.62 ;3.51 ;33.18 ;9.4
go1p15                                   ;0.0515 ;0.041263 ;0.001225 ;16.07 ;13117 ;9.84 ;1.09 ;205.43 ;55.84 ;15.52 ;38.51 ;61.37 ;-1.56 ;43.93 ;5.091 ;1.63 ;9.5 ;35.74 ;1.42 ;0.55 ;3.08 ;33.54 ;8.2
go1p16                                   ;0.0967 ;0.053738 ;0.0016 ;16.07 ;10043 ;12.86 ;1.05 ;120.78 ;57.83 ;22.57 ;42.98 ;63.08 ;10.63 ;52.1 ;22.528 ;3.11 ;11.3 ;31.82 ;1.67 ;0.5 ;4.51 ;28.49 ;7.31
go1p17                                   ;0.0526 ;0.0418 ;0.0012375 ;11.93 ;9639.6 ;7.38 ;0.96 ;149.02 ;57.33 ;16.78 ;39.97 ;65.02 ;6.48 ;50.68 ;9.821 ;2.28 ;10.8 ;27.8 ;1.93 ;0.65 ;3.9 ;25.78 ;7.16
go1p18                                   ;0.0755 ;0.046012 ;0.0013625 ;21.46 ;15754 ;14.62 ;0.71 ;221.24 ;60 ;10.37 ;40.21 ;63.93 ;6.03 ;49.95 ;6.87 ;1.93 ;10.5 ;28.11 ;1.9 ;0.67 ;4.69 ;30.81 ;8.49
go1p19                                   ;0.0722 ;0.045825 ;0.0013625 ;24.69 ;18122 ;16.82 ;0.71 ;255.56 ;58.08 ;11 ;40.83 ;63.44 ;3.22 ;49.25 ;4.761 ;1.56 ;10.1 ;31.7 ;1.53 ;0.58 ;3.57 ;29.76 ;8.08
go1p20                                   ;0.0548 ;0.043312 ;0.0012875 ;20.05 ;15574 ;12.91 ;0.75 ;232.37 ;57.13 ;2.2 ;40.72 ;58.81 ;-1.34 ;42.86 ;2.79 ;1.03 ;7 ;33.54 ;1.17 ;0.55 ;1.8 ;31.98 ;7.3
go1p21                                   ;0.0601 ;0.044463 ;0.001325 ;18.9 ;14267 ;12.52 ;0.84 ;207.37 ;56.82 ;4.54 ;39.56 ;59.06 ;-4.24 ;42.98 ;3.276 ;1.19 ;7.8 ;34.62 ;1.1 ;0.45 ;2.23 ;35.88 ;6.41
go1p22                                   ;0.0652 ;0.046325 ;0.001375 ;26.3 ;19128 ;18.08 ;0.67 ;266.82 ;56.01 ;7.37 ;40.31 ;56.94 ;-6.07 ;40.53 ;3.549 ;1.27 ;9.4 ;34.26 ;1.35 ;0.53 ;2.76 ;30.93 ;8.38
